App,Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Last Updated
zombie tsunami,game,4.4,4918776,100000000,Free,everyone    ,arcade,2018-06-15
four in a line,game,3.8,22191,1000000,Free,everyone,board,2015-05-04
cardi b piano game,game,3.1,50,10000,Free,everyone,music,2017-11-15
mortal kombat x,game,4.4,3039889,10000000,Free,mature    ,action,2018-06-27
  multicraft   free miner   ,game,4.3,1305050,50000000,Free,everyone    ,adventure,2018-07-29
pixel gun  d  survival shooter   battle royale,game,4.5,4487182,50000000,Free,teen,action,2018-07-04
b    spirits of glory deluxe,game,4.3,12,100,Paid,everyone,arcade,2017-09-02
hungry shark evolution,game,4.5,6071542,100000000,Free,teen,arcade,2018-07-25
perfect piano,game,4.2,828489,50000000,Free,everyone,music,2018-08-04
b grade renegade,game,3.9,24,1000,Paid,teen,action,2017-10-17
cursum b,game,0.0,30,500,Paid,everyone,racing,2017-06-20
critical ops,game,4.4,1397944,10000000,Free,teen,action,2018-07-31
hill climb racing,game,4.4,8921451,100000000,Free,everyone,racing,2018-07-02
hitman sniper,game,4.6,408292,10000000,Paid,mature    ,action,2018-07-12
frontline commando  d day,game,4.5,1736105,10000000,Free,mature    ,action,2014-05-16
fruit ninja ,game,4.3,5091448,100000000,Free,everyone,arcade,2018-07-12
crossy road,game,4.5,4229977,100000000,Free,everyone,action,2018-08-01
temple run  ,game,4.3,8116142,500000000,Free,everyone,action,2018-07-05
beach buggy blitz,game,4.2,640974,50000000,Free,everyone,racing,2018-06-05
vector,game,4.4,3058687,100000000,Free,everyone    ,arcade,2016-07-18
dr  driving,game,4.5,4972230,100000000,Free,everyone,racing,2018-03-02
d day world war ii commando survival shooting,game,4.2,951,100000,Free,teen,action,2018-05-25
geometry dash meltdown,game,4.6,1591129,50000000,Free,everyone,arcade,2017-12-22
sniper  d gun shooter  free shooting games   fps,game,4.6,7657490,100000000,Free,mature    ,action,2018-08-02
bike race free   top motorcycle racing games,game,4.5,2586261,100000000,Free,everyone,racing,2018-07-31
smash hit,game,4.5,4147718,100000000,Free,everyone,arcade,2015-11-26
temple run,game,4.3,4000433,100000000,Free,everyone,arcade,2018-08-02
super car f  mod for mcpe,game,3.6,214,50000,Free,everyone,adventure,2018-07-19
geometry dash world,game,4.6,759838,10000000,Free,everyone,arcade,2017-12-22
pubg mobile,game,4.4,3697174,50000000,Free,teen,action,2018-07-24
gangstar vegas   mafia game,game,4.5,4830407,50000000,Free,mature    ,action,2018-05-25
granny,game,4.5,1128805,50000000,Free,teen,arcade,2018-05-29
rolling g sky,game,3.6,2065,100000,Free,everyone,adventure,2017-01-25
g switch  ,game,4.4,12683,1000000,Free,everyone,action,2018-02-05
g switch  ,game,4.6,3656,100000,Free,everyone,action,2018-03-15
g switch,game,3.8,4116,100000,Free,everyone,action,2015-09-01
radial g   infinity,game,3.6,517,50000,Free,everyone,arcade,2015-12-07
helix jump,game,4.2,1485806,100000000,Free,everyone,action,2018-04-09
geometry dash lite,game,4.5,6181640,100000000,Free,everyone,arcade,2017-12-22
car driving simulator drift,game,4.4,19816,1000000,Free,everyone,racing,2017-11-03
the world ends with you,game,4.6,4108,10000,Paid,everyone    ,arcade,2015-12-14
rc city police heavy traffic racer,game,4.4,3250,1000000,Free,everyone,racing,2018-07-19
d h reaction wall,game,0.0,0,1,Paid,everyone,arcade,2016-07-24
motorbike driving simulator  d,game,3.9,178723,10000000,Free,everyone,racing,2016-12-25
helix,game,3.9,2454,500000,Free,everyone,arcade,2017-09-10
slither io,game,4.4,5231553,100000000,Free,everyone,action,2017-11-14
solitaire ,game,4.7,403911,10000000,Free,everyone,card,2018-06-24
igun pro  the original gun app,game,4.2,249308,10000000,Free,everyone,arcade,2017-09-07
sonic dash,game,4.5,3777822,100000000,Free,everyone,arcade,2018-07-26
ninjump,game,4.3,421000,10000000,Free,everyone,arcade,2018-06-13
zombie catchers,game,4.7,989158,10000000,Free,everyone,action,2018-05-24
fidget spinner,game,4.2,307398,10000000,Free,everyone,arcade,2017-11-30
jetpack joyride,game,4.4,4637439,100000000,Free,everyone    ,arcade,2018-07-19
anger of stick     zombie,game,4.5,547644,50000000,Free,teen,action,2018-08-03
j balvin piano tiles,game,0.0,6,500,Free,everyone,music,2018-05-15
guess the song of j balvin,game,0.0,28,1000,Free,everyone,education,2017-12-24
j stars victory vs guide,game,4.1,609,10000,Free,everyone,action,2014-05-14
kim kardashian  hollywood,game,4.3,1017408,10000000,Free,teen,adventure,2018-07-16
magic tiles   twice edition  k pop ,game,4.4,2351,100000,Free,everyone,music,2018-07-25
magic tiles   blackpink edition  k pop ,game,4.6,4304,100000,Free,everyone,music,2018-06-20
korean dungeon  k word     ,game,4.7,703,10000,Free,everyone    ,education,2017-11-17
talking tom gold run,game,4.6,2694969,100000000,Free,everyone,action,2018-07-31
lep s world  ,game,4.3,696019,50000000,Free,everyone    ,arcade,2018-05-26
last day on earth  survival,game,4.5,2308916,10000000,Free,teen,action,2018-08-01
ant smasher by best cool   fun games,game,4.2,1185148,100000000,Free,everyone,arcade,2018-08-01
cheating tom     genius school,game,4.3,90415,10000000,Free,everyone,arcade,2018-07-24
m  x  x  m i   i   raci ng     ,game,4.4,596,100000,Free,everyone,arcade,2017-02-12
m acceleration  d car racing,game,3.9,1202,100000,Free,everyone,racing,2018-06-28
super hero m craft run,game,3.7,303,100000,Free,everyone,arcade,2017-07-12
don t hug me i m so scared,game,3.5,901,50000,Free,everyone,adventure,2018-06-08
rope n fly  ,game,4.1,234606,10000000,Free,everyone,action,2018-01-29
cops n robbers   fps mini game,game,4.2,156862,5000000,Free,everyone    ,action,2018-07-31
cops n robbers  ,game,4.1,63680,1000000,Free,everyone    ,adventure,2018-06-02
hide n seek   mini game,game,3.8,4719,500000,Free,everyone,action,2018-07-08
rope n fly     dusk till dawn,game,4.0,166033,10000000,Free,everyone    ,arcade,2018-01-31
drag n boom,game,4.8,133180,1000000,Free,everyone    ,arcade,2018-01-12
traps n  gemstones,game,4.5,413,1000,Paid,everyone,adventure,2017-05-17
cops n robbers,game,4.0,37789,1000000,Free,teen,adventure,2018-06-06
ghosts n goblins mobile,game,3.8,466,10000,Paid,everyone,arcade,2017-03-28
mopar drag n brag,game,4.2,30630,1000000,Free,everyone,racing,2015-05-25
draw n guess multiplayer,game,3.9,29505,1000000,Free,everyone,education,2018-04-04
lock  n  roll pro   ad free,game,4.6,169,1000,Paid,everyone,card,2015-07-01
rock n  cash casino slots  free vegas slot games,game,4.7,6187,100000,Free,teen,casino,2018-07-27
rock n roll music quiz game,game,3.7,80,10000,Free,everyone,education,2018-06-06
jump n shoot attack,game,4.1,155,1000,Paid,everyone,arcade,2018-05-26
ghouls n ghosts mobile,game,3.9,168,5000,Paid,everyone    ,arcade,2017-05-18
oddworld  new  n  tasty,game,4.6,1475,10000,Paid,teen,action,2018-01-02
obbligo o verit   pro,game,0.0,4,100,Paid,teen,board,2018-04-26
drink o tron the drinking game,game,4.1,140,50000,Free,mature    ,card,2017-05-31
the maze runner,game,4.0,428268,10000000,Free,everyone,action,2015-09-14
the q   live trivia game network,game,2.7,1486,100000,Free,everyone,education,2018-08-03
q bert  rebooted,game,4.3,13788,1000000,Free,everyone,arcade,2017-04-01
gun shoot war q,game,4.2,26893,1000000,Free,teen,arcade,2017-03-01
djmax technika q   music game,game,4.3,21107,100000,Free,everyone,music,2018-07-30
r type ii,game,4.3,5682,50000,Paid,everyone,arcade,2017-03-02
r type,game,4.5,7687,100000,Paid,everyone,arcade,2017-02-27
stupid zombies,game,4.5,464900,10000000,Free,teen,arcade,2018-06-27
crime wars s  andreas,game,4.3,5785,500000,Free,teen,racing,2017-04-12
dino t rex,game,4.0,69115,10000000,Free,everyone,arcade,2018-06-13
don t starve  pocket edition,game,4.4,17988,100000,Paid,teen,adventure,2018-07-25
don t starve  shipwrecked,game,4.1,1468,10000,Paid,teen,adventure,2018-07-10
ludo   don t get angry,game,4.2,131,1000,Paid,everyone,board,2016-02-24
u    submarine commander free,game,3.5,4575,500000,Free,everyone,arcade,2017-10-07
identity v,game,4.2,109263,1000000,Free,teen,action,2018-07-10
v for voodoo,game,4.2,16876,1000000,Free,teen,education,2018-06-28
sin city crime simulator v   gangster,game,4.2,2113,100000,Free,everyone    ,action,2018-04-23
the gang sniper v  pocket edition ,game,3.9,6121,500000,Free,mature    ,action,2018-06-20
san andreas  gang crime v,game,4.1,2399,100000,Free,mature    ,action,2018-01-28
mental hospital v,game,4.2,2460,50000,Paid,mature    ,action,2016-11-19
grand stickman cover v,game,4.0,1744,100000,Free,mature    ,action,2018-05-19
words with friends classic,game,4.3,1704112,50000000,Free,everyone,education,2018-07-11
draw something classic,game,4.2,1092106,50000000,Free,everyone,education,2018-07-28
extreme x ray robot stunts,game,4.3,10806,5000000,Free,everyone,racing,2017-05-09
casino x   free online slots,game,4.5,30515,1000000,Free,teen,casino,2018-05-22
x wolf,game,4.2,4878,100000,Free,everyone    ,adventure,2018-02-02
hero fighter x,game,4.5,24210,500000,Free,teen,action,2015-11-13
slendrina x,game,4.4,12736,1000000,Free,teen,arcade,2017-12-18
robocar x ray,game,4.5,3432,1000000,Free,mature    ,action,2017-01-23
space x  sky wars of air force,game,4.5,10748,1000000,Free,everyone,arcade,2018-08-04
real gangster crime,game,4.3,285814,10000000,Free,teen,action,2018-06-26
gangster town,game,4.1,74842,5000000,Free,teen,action,2016-12-22
rope hero  ,game,4.4,45871,5000000,Free,teen,action,2017-05-08
experiment z   zombie,game,4.0,229329,10000000,Free,mature    ,action,2017-12-04
z champions,game,4.7,96028,1000000,Free,teen,arcade,2018-05-28
withstandz   zombie survival ,game,4.3,121612,1000000,Free,teen,action,2017-12-28
zombie war z   hero survival rules,game,3.9,1987,100000,Free,mature    ,action,2017-12-13
dragon ball z dokkan battle,game,4.1,650114,10000000,Free,teen,action,2018-07-03
cube z  pixel zombies ,game,4.2,41444,1000000,Free,teen,action,2016-07-31
galak z  variant mobile,game,3.9,145,10000,Free,everyone,action,2018-07-30
reload  the z team,game,4.3,1655,100000,Free,everyone    ,action,2018-02-28
rage z  multiplayer zombie fps online shooter,game,4.1,11258,500000,Free,mature    ,action,2016-12-08
pixel z gunner  d   battle survival fps,game,4.2,11408,1000000,Free,teen,action,2018-07-06
saiyan z  super ssj ultimate combat,game,4.4,306,10000,Free,everyone,adventure,2018-04-18
mini dayz  zombie survival,game,4.1,94661,1000000,Free,teen,action,2018-06-08
zombie avengers  dreamsky stickman war z,game,4.3,13604,1000000,Paid,teen,action,2018-06-26
route z,game,3.9,24697,500000,Free,teen,action,2015-07-10
dragon x adventure  warrior z,game,4.3,8537,100000,Free,everyone    ,action,2015-11-03
ultimate fighter z,game,4.3,180,5000,Free,everyone,action,2018-07-16
angry birds rio,game,4.4,2610328,100000000,Free,everyone,arcade,2018-07-03
angry birds friends,game,4.2,829753,50000000,Free,everyone,arcade,2018-06-19
angry birds go ,game,4.2,3846378,50000000,Free,everyone,racing,2018-05-30
angry birds star wars,game,4.3,1218055,100000000,Free,everyone,arcade,2018-05-25
assassin s creed identity,game,3.7,42529,500000,Paid,teen,action,2016-11-23
onscripter plus  ad free ,game,4.5,100,1000,Paid,everyone,adventure,2016-04-07
solitaire  decked out ad free,game,4.9,37302,500000,Free,everyone,card,2017-05-08
ae jewels    island adventures,game,4.2,652,10000,Free,everyone,action,2016-02-24
ae bingo  offline bingo games,game,4.4,61746,500000,Free,teen,casino,2016-09-30
ae jewels,game,4.2,960,50000,Free,everyone,action,2015-08-20
ae spider solitaire,game,4.5,17263,500000,Free,everyone,card,2017-06-07
ae coin mania   arcade fun,game,4.3,30002,1000000,Free,teen,casino,2018-02-08
mupen   ae free  n   emulator ,game,4.0,41759,1000000,Free,everyone,arcade,2014-01-19
mupen  plus ae  n   emulator ,game,4.2,4569,100000,Paid,everyone,arcade,2014-01-19
ae lucky fishing,game,4.3,18277,1000000,Free,teen,arcade,2016-03-14
ae video poker,game,4.0,721,50000,Free,teen,casino,2015-12-31
ae solitaire,game,4.3,1776,50000,Free,everyone,card,2018-01-04
ae blackjack,game,4.0,1417,100000,Free,teen,card,2015-11-27
ae gun ball  arcade ball games,game,3.7,8581,1000000,Free,everyone,arcade,2013-12-13
ae  d motor  racing games free,game,4.2,74902,5000000,Free,everyone,racing,2016-08-26
ae gto racing,game,3.9,6988,100000,Free,everyone    ,racing,2015-09-24
ae  d moto  ,game,3.9,2588,100000,Free,everyone    ,racing,2014-12-31
ae freecell,game,4.2,358,10000,Free,everyone,card,2014-11-06
ae city jump,game,4.5,804,10000,Free,everyone,action,2018-07-18
ae angry chef,game,4.1,533,10000,Free,everyone    ,action,2014-01-24
ae master moto,game,4.0,17876,1000000,Free,everyone,racing,2015-12-10
ae fishing hunter,game,4.4,14,1000,Free,everyone,adventure,2016-03-15
gun strike shoot,game,4.1,94761,10000000,Free,teen,action,2017-02-21
ag drive  d,game,3.8,164,10000,Free,everyone,adventure,2015-03-20
vr ag racing for cardboard,game,3.4,13,1000,Free,everyone,racing,2016-09-29
ah   viper cobra ops   helicopter flight simulator,game,3.8,1088,100000,Free,teen,action,2018-02-16
ah  coins,game,3.4,256,50000,Free,everyone,action,2016-12-08
aj jump  animal jam kangaroos ,game,4.4,2975,50000,Paid,everyone,arcade,2016-03-07
baby game animal jam free,game,2.8,9,500,Free,everyone,board,2017-03-24
blackjack aj poker,game,3.8,8,1000,Free,teen,card,2016-10-19
puppy shooting an ak     platformer zombie game,game,4.8,21,1000,Free,everyone,arcade,2018-03-30
crisis action       no   fps,game,4.3,807226,10000000,Free,teen,action,2018-07-11
ak     d,game,3.7,91,10000,Free,everyone,action,2016-12-25
ak    assult rifle  gun shooting simulator game,game,0.0,1,500,Free,everyone,action,2018-05-17
counter terrorist attack,game,3.9,145931,10000000,Free,teen,action,2018-05-31
rules of survival,game,4.2,1343106,10000000,Free,teen,action,2018-08-01
ak blackjack,game,0.0,4,1000,Free,teen,card,2018-07-30
gun zombie,game,4.4,243121,5000000,Free,teen,arcade,2014-10-17
shoot strike war fire,game,4.1,82827,10000000,Free,teen,arcade,2018-07-13
i am innocent,game,4.4,208501,1000000,Free,teen,adventure,2018-07-23
i am bread,game,4.0,630,10000,Paid,everyone,adventure,2016-10-26
what am i    brain teasers,game,4.2,4537,100000,Free,everyone,education,2017-04-05
who am i   biblical ,game,4.5,5849,500000,Free,everyone,education,2017-09-13
vikings  an archer s journey,game,4.5,10256,1000000,Free,everyone,action,2017-12-11
draw a stickman  epic free,game,4.2,210317,10000000,Free,everyone    ,adventure,2015-04-10
the king of fighters a      f ,game,4.4,406511,5000000,Free,teen,action,2016-10-21
fast like a fox,game,4.3,104389,5000000,Free,everyone,adventure,2018-04-17
ao oni ,game,4.1,21223,1000000,Free,teen,adventure,2018-04-20
arena of valor   v  arena game,game,4.4,438911,10000000,Free,teen,action,2018-06-28
mobile legends  bang bang,game,4.4,8219586,100000000,Free,teen,action,2018-07-24
kill shot bravo  sniper fps,game,4.4,579519,10000000,Free,mature    ,action,2018-07-18
carnivores  dinosaur hunter,game,4.2,62636,1000000,Free,teen,action,2018-07-02
hopeless land  fight for survival,game,4.2,250197,5000000,Free,teen,action,2018-07-12
heroes arena,game,4.2,336386,10000000,Free,everyone    ,action,2018-07-24
dino hunter  deadly shores,game,4.4,1381624,10000000,Free,teen,action,2017-03-14
undead assault,game,4.3,4704,100000,Free,everyone    ,arcade,2015-11-04
guess the class   aqw,game,4.7,57,1000,Free,everyone,education,2017-11-01
iron blade,game,4.4,161637,10000000,Free,mature    ,action,2018-07-18
evil apples  a dirty card game,game,4.3,137696,5000000,Free,mature    ,education,2018-07-19
ghost snap ar horror survival,game,3.8,898,100000,Free,teen,adventure,2016-12-21
the walking dead  our world,game,4.0,22435,1000000,Free,teen,action,2018-08-01
ingress,game,4.3,391325,10000000,Free,everyone,adventure,2018-06-20
flat pack,game,4.4,862,100000,Free,everyone    ,action,2018-03-16
crayola color blaster,game,3.8,17,1000,Free,everyone,arcade,2018-03-13
guns of boom   online shooter,game,4.6,1226514,10000000,Free,teen,action,2018-07-20
guns royale   multiplayer blocky battle royale,game,4.6,19070,100000,Free,everyone    ,action,2018-08-04
stack it ar,game,3.8,1363,100000,Free,everyone,arcade,2018-06-29
nightenfell  shared ar,game,4.5,20,1000,Paid,everyone    ,action,2018-03-27
arcraft   ar sandbox,game,3.8,469,10000,Free,everyone,adventure,2017-05-19
ar tank battle,game,3.6,153,10000,Free,everyone,action,2016-12-31
sonic the hedgehog  classic,game,4.4,125652,10000000,Free,everyone,action,2018-06-18
pacific navy fighter c e   as ,game,4.3,11379,500000,Free,everyone    ,arcade,2018-07-29
my oldboy  free   gbc emulator,game,4.2,51787,5000000,Free,everyone,arcade,2018-01-12
my boy  free   gba emulator,game,4.3,531074,10000000,Free,everyone,arcade,2018-01-09
samurai vs zombies defense,game,4.5,407788,5000000,Free,everyone,action,2013-07-18
five nights at freddy s   demo,game,4.4,889425,10000000,Free,teen,action,2015-07-26
five nights at freddy s   demo,game,4.5,1041836,10000000,Free,teen,action,2015-04-02
nights at cube pizzeria  d    ,game,4.0,47151,5000000,Free,everyone    ,action,2017-12-26
rivals at war  firefight,game,4.4,344819,5000000,Free,teen,action,2016-10-18
five nights at freddy s,game,4.6,100805,1000000,Paid,teen,action,2014-12-02
  nights at pixel pizzeria    ,game,4.0,23168,1000000,Free,teen,adventure,2018-07-09
nights at slender pizzeria  d,game,4.1,2628,100000,Free,teen,adventure,2017-05-22
one night at golden freddy s,game,3.3,2717,100000,Free,teen,action,2017-12-07
nights at cube pizzeria  d    ,game,4.1,7728,500000,Free,teen,adventure,2018-07-17
five nights at neighbor house,game,4.2,2180,100000,Free,everyone    ,action,2018-01-26
asylum night shift   five nights survival,game,4.0,59223,5000000,Free,teen,action,2018-06-26
five nights at freddy s  sl,game,4.5,16162,100000,Paid,teen,action,2017-04-06
two nights at jumpscare,game,3.8,596,100000,Free,teen,adventure,2017-08-17
five nights at pizzeria,game,3.5,1976,100000,Free,teen,action,2018-03-03
block battles  heroes at war   multiplayer pvp,game,4.3,6698,500000,Free,everyone    ,action,2016-05-14
five nights at freddy s  ,game,4.6,21266,100000,Paid,teen,action,2015-07-26
five nights at flappy s,game,4.7,4041,10000,Free,everyone,arcade,2017-06-27
  nights at cube pizzeria city,game,3.8,2691,100000,Free,teen,adventure,2017-02-22
five nights at freddy s  ,game,4.7,27856,100000,Paid,teen,action,2015-04-02
au mobile  audition ch nh hi u,game,3.9,85278,1000000,Free,mature    ,music,2018-07-17
au mobile indonesia,game,3.6,16521,1000000,Free,everyone,music,2018-05-09
super dancer,game,4.1,91667,1000000,Free,everyone,arcade,2018-07-24
au allstar for kr,game,3.6,2433,100000,Free,everyone,music,2018-06-15
super dancer vn,game,4.0,24312,500000,Free,everyone,music,2018-07-22
love dance,game,4.0,29462,1000000,Free,teen,music,2018-06-14
avatar musik,game,3.8,159063,1000000,Free,everyone,music,2018-02-09
deer hunter     ,game,4.3,955614,10000000,Free,teen,action,2018-06-26
armored warfare  assault,game,4.0,7718,100000,Free,everyone,action,2018-08-02
auction wars   storage king,game,4.1,29062,1000000,Free,everyone,casino,2017-09-15
isniper  d arctic warfare,game,3.8,35572,1000000,Free,teen,arcade,2013-09-04
modern action commando  d,game,4.2,492,100000,Free,teen,action,2017-04-06
call of duty   heroes,game,4.4,1604146,10000000,Free,teen,action,2018-06-27
axe io   brutal survival battleground,game,4.2,3845,500000,Free,everyone    ,arcade,2018-08-03
axe champ,game,3.8,141,10000,Free,everyone,arcade,2018-05-26
axe champ hit,game,0.0,1,100,Free,everyone,arcade,2018-05-25
axe champion,game,4.4,21,5000,Free,everyone,arcade,2018-05-28
vikings stickman axe fighting,game,4.2,924,100000,Free,everyone,arcade,2017-10-21
axetatic   axe throwing game,game,4.6,29,1000,Free,everyone    ,arcade,2017-10-22
axe champs  wars,game,5.0,8,50,Free,everyone,arcade,2018-06-26
axe knight,game,4.5,52,5000,Free,everyone,action,2018-06-26
the vikings,game,4.4,15806,1000000,Free,teen,arcade,2018-06-06
knife axe throwing,game,3.1,440,50000,Free,everyone,arcade,2012-11-26
stickman and axe,game,4.4,69,50000,Free,teen,action,2017-11-25
axe throw  flip champ axes champion throwing games,game,0.0,1,50,Free,everyone,arcade,2018-05-31
axe man,game,3.7,53,1000,Free,everyone,adventure,2015-02-23
dead zombie evil killer axe,game,3.9,71,10000,Free,teen,action,2016-12-01
zlax io zombs luv ax,game,4.6,6344,500000,Free,everyone,action,2018-04-04
clash of axe  flippy lumberjack action x,game,4.3,6,1000,Free,everyone,action,2017-09-14
flippy axe   flip the knife   axe simulator,game,5.0,7,100,Free,everyone,arcade,2017-09-27
cyborg ax    ,game,0.0,0,50,Free,everyone    ,action,2018-06-25
woodman deluxe,game,4.0,82,5000,Free,everyone,action,2015-07-06
 ay metro ,game,3.8,489,10000,Free,everyone    ,arcade,2015-03-17
yakala ay,game,0.0,0,1,Paid,everyone,arcade,2018-07-07
ay vamos   pj  balvin   piano,game,0.0,0,5,Free,everyone,arcade,2018-07-09
san andreas crime stories,game,4.0,162530,10000000,Free,mature    ,racing,2018-07-02
miami crime simulator,game,4.0,254518,10000000,Free,mature    ,action,2018-07-09
strange hero  future battle,game,4.2,88901,10000000,Free,teen,action,2018-05-24
mad day   truck distance game,game,4.3,29270,5000000,Free,everyone,action,2018-07-25
az rockets,game,4.2,162,10000,Free,everyone,arcade,2018-05-25
ra ga ba,game,5.0,2,1,Paid,everyone,arcade,2017-02-08
ba cristi,game,3.5,196,10000,Free,everyone,adventure,2016-03-22
banana kong,game,4.4,3452530,100000000,Free,everyone,action,2018-02-07
space shooter   galaxy attack,game,4.6,169661,10000000,Free,everyone,arcade,2018-08-01
bc slots   the lost reels free,game,4.0,209,10000,Free,teen,casino,2018-07-13
millionaire   who want to be ,game,4.4,4396,100000,Free,everyone,education,2017-04-12
bowmasters,game,4.7,1535581,50000000,Free,teen,action,2018-07-23
beauty idol  fashion queen,game,4.3,128367,1000000,Free,everyone,arcade,2017-10-27
hard time  prison sim ,game,4.3,275843,10000000,Free,teen,adventure,2018-07-19
battlefield  companion,game,4.0,263907,10000000,Free,everyone    ,action,2016-11-01
wolf of the bf commando mobile,game,3.4,32,1000,Paid,everyone    ,arcade,2017-03-23
bf at sea refueled,game,4.4,1849,10000,Free,everyone,board,2015-10-20
bullet force,game,4.5,634159,10000000,Free,teen,action,2018-06-21
bf combat  genesis,game,4.0,3322,100000,Free,mature    ,action,2017-03-02
combat bf  black ops  ,game,4.2,7699,500000,Free,mature    ,action,2017-03-02
bf frontline city,game,4.1,29798,1000000,Free,mature    ,action,2017-03-06
faketalk   chatbot,game,4.2,63056,1000000,Free,teen,education,2018-07-03
block gun  d  call of destiny,game,3.7,31883,1000000,Free,teen,action,2017-03-23
blood   glory  immortals,game,4.3,101762,1000000,Free,teen,action,2015-06-11
shadow fight   special edition,game,4.5,10440,50000,Paid,teen,action,2018-05-30
block gun  d  ghost ops,game,3.9,142693,5000000,Free,teen,action,2018-06-07
backgammon nj for android,game,4.4,1644,10000,Paid,everyone,board,2017-04-05
rento   dice board game online,game,4.3,205830,10000000,Free,everyone,board,2018-06-20
survival run with bear grylls,game,4.2,128579,5000000,Free,everyone,action,2018-05-06
vip backgammon free   play backgammon online,game,4.1,389,10000,Free,teen,board,2018-07-03
out of bounds bh demo,game,0.0,3,10,Free,everyone,action,2015-11-19
bi tank ads free,game,0.0,0,1,Paid,everyone,arcade,2017-07-31
bi tank,game,4.6,12,50,Free,everyone,arcade,2017-07-31
bike rivals,game,4.2,212067,10000000,Free,everyone,racing,2015-07-15
bingo party   free bingo games,game,4.7,155694,1000000,Free,teen,board,2018-07-13
bj s bingo   gaming casino,game,4.5,501,10000,Free,teen,casino,2018-07-26
bj bridge pro     ,game,4.4,17,500,Paid,everyone,card,2018-05-21
bj bridge free       ,game,3.9,20,10000,Free,everyone,card,2018-05-21
bj bridge acol beginner     ,game,3.7,11,5000,Free,everyone,card,2018-05-21
bj bridge standard american     ,game,1.0,1,1000,Free,everyone,card,2018-05-21
bj strategy tester,game,0.0,1,100,Free,everyone,casino,2015-05-19
cards casino video poker   bj,game,4.7,325,10000,Free,teen,casino,2015-05-08
real casino slot keno bj poker,game,4.1,341,50000,Free,teen,casino,2016-08-12
basic strategy training bj   ,game,0.0,0,500,Free,teen,casino,2016-03-07
bj card game blackjack,game,0.0,3,500,Free,teen,card,2016-12-02
blackjack ,game,4.4,524467,10000000,Free,teen,casino,2016-07-07
blackjack verite drills,game,4.6,17,100,Paid,teen,casino,2017-07-09
blackjack,game,4.3,52199,1000000,Free,teen,casino,2017-05-18
blackjack     casino card game,game,4.7,2066,100000,Free,teen,casino,2018-03-14
blackjack    pro,game,4.5,26744,500000,Free,teen,casino,2018-07-27
ultimate blackjack  d free,game,4.1,1686,100000,Free,teen,casino,2015-04-20
blood domination   bl game,game,4.5,415,10000,Free,mature    ,adventure,2018-07-06
heirs   graces,game,4.3,125,5000,Free,teen,adventure,2016-07-01
secondsecret        bl       ,game,4.4,1563,50000,Free,teen,adventure,2017-06-29
lust in terror manor   the truth unveiled   otome,game,4.1,355,10000,Free,teen,adventure,2018-07-10
mega man mobile,game,4.0,267,10000,Paid,everyone,action,2017-02-17
bl tz   endless,game,4.7,21,100,Free,everyone,arcade,2017-06-30
bl ed  from blue to red,game,0.0,3,10,Free,everyone,arcade,2016-04-24
teen patti by bl games,game,4.1,496,100000,Free,teen,card,2017-01-31
word hunt,game,4.9,59,500,Free,everyone,education,2018-06-22
new york mysteries  full ,game,4.5,514,5000,Paid,teen,adventure,2018-06-04
the legacy  full ,game,4.6,144,1000,Paid,everyone,adventure,2018-05-15
skip bo ,game,4.4,33661,100000,Paid,everyone,card,2018-08-03
skip bo  free,game,3.5,46801,1000000,Free,everyone,card,2018-08-03
red ball  ,game,4.4,1432447,50000000,Free,everyone,arcade,2017-11-09
skater boy,game,4.3,1167143,100000000,Free,everyone,arcade,2017-09-20
sic bo,game,0.0,1,100,Paid,teen,card,2013-08-27
sic bo online  free casino,game,3.8,488,100000,Free,teen,casino,2016-06-10
hambo,game,4.4,125578,5000000,Free,everyone,action,2015-07-06
sic bo rave,game,3.9,164,10000,Free,teen,card,2013-09-23
thai sic bo,game,4.1,14283,1000000,Free,teen,casino,2017-10-01
bounce classic,game,4.5,38297,10000000,Free,everyone,arcade,2018-07-05
bomber friends,game,4.5,776730,10000000,Free,everyone    ,action,2018-07-26
sic bo  tai xiu    multiplayer casino,game,4.2,152,10000,Free,teen,casino,2018-07-08
hungry shark world,game,4.5,1243017,50000000,Free,teen,action,2018-07-18
bq                ,game,4.7,191,5000,Free,everyone,education,2018-07-31
carros rebaixados br,game,4.3,20691,1000000,Free,everyone,racing,2018-07-31
texas holdem poker deluxe  br ,game,4.5,1418,10000,Free,teen,casino,2018-05-30
brick breaker br,game,5.0,7,5,Free,everyone,arcade,2018-07-23
black commando   special ops   fps shooting,game,4.1,1167,100000,Free,teen,action,2018-05-03
true skateboarding ride skateboard game freestyle,game,3.8,8175,1000000,Free,everyone    ,arcade,2018-01-03
bullshit   free ,game,2.4,45,10000,Free,teen,card,2016-08-26
bullshite ,game,2.8,48,10000,Free,teen,card,2016-04-10
block strike,game,4.5,947515,10000000,Free,teen,action,2018-07-25
bombsquad remote,game,4.1,13304,1000000,Free,everyone,arcade,2016-11-30
bs tractor,game,0.0,3,100,Free,everyone,racing,2017-12-06
bs chopper,game,0.0,0,100,Free,everyone,racing,2017-10-05
b dl bs lite,game,3.8,10,1000,Free,mature    ,education,2016-04-05
kick the buddy,game,3.3,294,10000,Free,everyone,arcade,2018-07-19
bu hangi  nl  ,game,0.0,1,10,Free,everyone,education,2018-06-09
